disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
1240,,,,,25888496.72,16028598.82,9859897.9,2023-10-05T00:00:00.000Z,,3479614,880c5b29dc95fc5dd553354e5e10186f5737ff73,2023-10-05T06:03:23.698Z,21179b69-3917-420f-a56c-c390b5601a0e
1242,,,,,12933681.07,10532227.75,2401453.32,2023-10-05T00:00:00.000Z,,1514019,025d3ce9a347118e21c3c37d46ff494d76e68612,2023-10-05T06:03:23.698Z,c77f54ed-c8a2-4906-a9d9-cb00f44eed29
1243,,,,,3647893.61,2212669.86,1435223.75,2023-10-05T00:00:00.000Z,,580602,978ab8730a40ca6990748dc7aeedf21f72c9f2a2,2023-10-05T06:03:23.698Z,ce306543-34c4-4697-b327-af4cc2933926
1244,,,,,31274411.72,29707892.15,1566519.57,2023-10-05T00:00:00.000Z,,2801027,2eccfd21db0581117c5eca6cf671aa01a5bae2bd,2023-10-05T06:03:23.698Z,c5966299-3e9d-4c24-b19a-ad1b88b59161
1245,,,,,9530146.71,1888561.16,7641585.55,2023-10-05T00:00:00.000Z,,2204299,4541529da0138f6350e17e03113f52557d300849,2023-10-05T06:03:23.698Z,8020327c-eeca-4264-a9ea-ca30165dc3b7
1246,,,,,28957783.36,14984478.32,13973305.04,2023-10-05T00:00:00.000Z,,7197142,03bcd6ec738578b7a6ef988f6ecbcc7224d2e903,2023-10-05T06:03:23.698Z,c656c95e-4273-40d8-bd60-e3ccd7a2cfa7
1247,,,,,611049043.2,210172543.9,400876499.3,2023-10-05T00:00:00.000Z,,220712228,330dc16a86ca09b518a4b4f3587319cbdf2b9c7b,2023-10-05T06:03:23.698Z,e150c4b4-60d2-4b11-b32d-f4403fcdeb02
1248,,,,,8565996.79,2159881.74,6406115.05,2023-10-05T00:00:00.000Z,,996958,6748ba52ed7255115b1c757ccc2e4ad4d84363e0,2023-10-05T06:03:23.698Z,2599efe8-48c3-4e09-b60e-ce57bb983b23
1249,,,,,112018620.6,44714863.89,67303756.69,2023-10-05T00:00:00.000Z,,15005046,7049c10b8765858e5613a12598fe85e13ce7daeb,2023-10-05T06:03:23.698Z,86b3ce51-3a89-48d0-8e0d-ca2640215fd1
1250,,,,,33075261.2,6459569.14,26615692.06,2023-10-05T00:00:00.000Z,,6689836,eaffe84720329715d34456e5106b680c6a19a971,2023-10-05T06:03:23.698Z,43a1289e-17da-48e3-9163-16f37c150159
1251,,,,,26156383.53,13194349,12962034.53,2023-10-05T00:00:00.000Z,,13298291,58122cb69b252f6d579e8fb690d9d638382abe52,2023-10-05T06:03:23.698Z,5c27c6c0-2646-42a4-aee4-afa2655a1ae8
1252,,,,,2022392.91,174832,1847560.91,2023-10-05T00:00:00.000Z,,286725,6e0d8fff1c43cb791cbc9efc3881b85c6680706e,2023-10-05T06:03:23.698Z,78797aad-bc34-4a8f-bc91-36c4a34cb96e
1253,,,,,12908455.45,494514.78,12413940.67,2023-10-05T00:00:00.000Z,,2116175,b1a0b9f99279bb1cf339fabbd9c11ad41efb9865,2023-10-05T06:03:23.698Z,c0ca9740-b5be-467c-9bf3-9ddbea67c003
1254,,,,,6640272.08,576432.34,6063839.74,2023-10-05T00:00:00.000Z,,750065,a465ff77d29f6c4452ff3815723ae5baf14eec52,2023-10-05T06:03:23.698Z,b4b9462d-2533-40fc-9673-0492b936d190
1255,,,,,6183513.64,1401615.75,4781897.89,2023-10-05T00:00:00.000Z,,844215,9e0deabea17cd84444cd24af0962b1b4b4613e03,2023-10-05T06:03:23.698Z,5d93a50c-4809-4137-a99b-059cc7b821b8
1258,,,,,9574047.21,1178287.29,8395759.92,2023-10-05T00:00:00.000Z,,2546649,b6a697ceff612e9bb1e700e9e77d322f0fd57208,2023-10-05T06:03:23.698Z,e4d9c6c2-f5bc-414f-80ba-c793d55bcd9f
1259,,,,,3099238.12,2656536.59,442701.53,2023-10-05T00:00:00.000Z,,1129100,81ab4c42b0cb60e7b3b0f6a42a135da74cdfd30d,2023-10-05T06:03:23.698Z,399a0431-f9cc-47f7-a099-bd9a9e9eed56
1263,,,,,1579219.78,113278.63,1465941.15,2023-10-05T00:00:00.000Z,,235411,c8ad5f3b4f202db6102de29ae78078895451081a,2023-10-05T06:03:23.698Z,6ff8123e-2738-4e9f-b7b4-1027669c177a
2042,,,,,,,,2023-10-05T00:00:00.000Z,,,5425f6470fc810d300718b2597c1dcd3c5f54f1a,2023-10-05T06:03:23.698Z,e5d3753a-d772-4d75-87dd-71cf948996ce
